Stock_NO,종목명,상장주식수(주),Market
90350,노루페인트,"20,000,000",kospi
320,노루홀딩스,"13,198,611",kospi
6280,녹십자,"11,686,538",kospi
5250,녹십자홀딩스,"47,028,210",kospi
4370,농심,"6,082,642",kospi
72710,농심홀딩스,"4,637,790",kospi
23590,다우기술,"44,866,617",kospi
20120,다우인큐브,"15,832,549",kospi
15590,대경기계,"70,739,890",kospi
19680,대교,"84,702,850",kospi
6370,대구백화점,"10,821,611",kospi
4130,대덕GDS,"20,575,613",kospi
8060,대덕전자,"48,796,300",kospi
490,대동공업,"23,728,210",kospi
8110,대동전자,"10,490,447",kospi
5750,대림B&Co,"16,672,240",kospi
210,대림산업,"34,800,000",kospi
4440,대림씨엔에스,"12,731,947",kospi
6570,대림통상,"15,225,000",kospi
1680,대상,"34,411,575",kospi
84690,대상홀딩스,"36,212,538",kospi
128820,대성산업,"24,087,955",kospi
117580,대성에너지,"27,500,000",kospi
5620,대성합동지주,"1,799,077",kospi
16710,대성홀딩스,"16,089,459",kospi
3540,대신증권,"50,773,400",kospi
9190,대양금속,"12,317,933",kospi
14160,대영포장,"106,584,898",kospi
47040,대우건설,"415,622,638",kospi
9320,대우부품,"47,646,375",kospi
42660,대우조선해양,"65,576,960",kospi
3090,대웅,"11,628,396",kospi
69620,대웅제약,"11,586,575",kospi
430,대원강업,"62,000,000",kospi
6340,대원전선,"68,107,171",kospi
3220,대원제약,"17,681,504",kospi
24890,대원화성,"41,249,152",kospi
2880,대유에이텍,"91,784,300",kospi
300,대유플러스,"88,120,526",kospi
12800,대창,"91,140,499",kospi
15230,대창단조,"2,000,000",kospi
1070,대한방직,"1,060,000",kospi
6650,대한유화,"6,500,000",kospi
1440,대한전선,"856,473,009",kospi
84010,대한제강,"24,646,734",kospi
1790,대한제당,"8,840,002",kospi
1130,대한제분,"1,690,000",kospi
3490,대한항공,"72,839,744",kospi
5880,대한해운,"24,426,504",kospi
3830,대한화섬,"1,328,000",kospi
16090,대현,"45,282,310",kospi
69460,대호에이엘,"27,134,839",kospi
12510,더존비즈온,"29,672,700",kospi
4830,덕성,"15,680,000",kospi
24900,덕양산업,"32,564,980",kospi
8000,도레이케미칼,"46,363,851",kospi
2150,도화엔지니어링,"33,720,000",kospi
1620,동국실업,"29,042,766",kospi
1230,동국제강,"95,432,737",kospi
23450,동남합성,"1,510,074",kospi
4140,동방,"32,523,970",kospi
7590,동방아그로,"13,617,577",kospi
12030,동부,"182,126,320",kospi
5960,동부건설,"20,818,499",kospi
16380,동부제철,"25,000,122",kospi
16610,동부증권,"42,446,389",kospi
990,동부하이텍,"44,367,832",kospi
5830,동부화재,"70,800,000",kospi
83350,동북아10호,"1,585,660",kospi
83360,동북아11호,"1,585,660",kospi
83370,동북아12호,"1,585,660",kospi
83380,동북아13호,"1,585,660",kospi
83390,동북아14호,"1,585,660",kospi
26960,동서,"99,700,000",kospi
2210,동성제약,"22,404,756",kospi
102260,동성코퍼레이션,"45,444,970",kospi
5190,동성화학,"5,304,983",kospi
640,동아쏘시오홀딩스,"6,137,913",kospi
58730,동아에스텍,"15,370,000",kospi
170900,동아에스티,"8,443,868",kospi
28100,동아지질,"11,500,000",kospi
7340,동아타이어,"23,727,020",kospi
1520,동양,"238,684,063",kospi
84670,동양고속,"2,652,000",kospi
30790,동양네트웍스,"52,734,346",kospi
2900,동양물산,"65,388,900",kospi
82640,동양생명,"107,572,390",kospi
8970,동양철관,"85,584,047",kospi
3580,동원,"1,278,717",kospi
49770,동원F&B,"3,859,124",kospi
18500,동원금속,"35,122,525",kospi
6040,동원산업,"3,363,200",kospi
30720,동원수산,"4,059,609",kospi
14820,동원시스템즈,"24,079,554",kospi
163560,동일고무벨트,"12,270,000",kospi
1530,동일방직,"2,294,311",kospi
4890,동일산업,"2,425,215",kospi
2690,동일제강,"15,000,000",kospi
20,동화약품,"27,931,470",kospi
150,두산,"20,206,888",kospi
11160,두산건설,"61,114,965",kospi
241560,두산밥캣,"100,249,166",kospi
82740,두산엔진,"69,500,000",kospi
42670,두산인프라코어,"207,455,314",kospi
34020,두산중공업,"106,457,586",kospi
16740,두올,"17,755,500",kospi
24090,디씨엠,"11,700,000",kospi
3160,디아이,"31,496,785",kospi
92200,디아이씨,"21,700,000",kospi
13570,디와이,"26,319,633",kospi
210540,디와이파워,"11,041,708",kospi
26890,디피씨,"41,678,175",kospi
115390,락앤락,"55,000,000",kospi
32350,롯데관광개발,"45,395,023",kospi
400,롯데손해보험,"134,280,000",kospi
23530,롯데쇼핑,"31,490,892",kospi
4000,롯데정밀화학,"25,800,000",kospi
4990,롯데제과,"14,214,000",kospi
5300,롯데칠성,"1,237,203",kospi
11170,롯데케미칼,"34,275,419",kospi
2270,롯데푸드,"1,369,436",kospi
71840,롯데하이마트,"23,607,712",kospi
27740,마니커,"116,725,477",kospi
204320,만도,"9,391,424",kospi
1080,만호제강,"4,150,000",kospi
88980,맥쿼리인프라,"331,459,341",kospi
94800,맵스리얼티1,"92,834,331",kospi
138040,메리츠금융지주,"142,885,818",kospi
8560,메리츠종금증권,"496,638,534",kospi
60,메리츠화재,"110,338,000",kospi
17180,명문제약,"23,220,000",kospi
12690,모나리자,"36,571,255",kospi
5360,모나미,"18,897,307",kospi
204210,모두투어리츠,"7,826,815",kospi
9680,모토닉,"33,000,000",kospi
9580,무림P&P,"62,368,324",kospi
9200,무림페이퍼,"41,609,310",kospi
33920,무학,"28,500,000",kospi
8420,문배철강,"20,503,505",kospi
25560,미래산업,"630,818,400",kospi
7120,미래아이앤지,"63,587,319",kospi
6800,미래에셋대우,"666,316,408",kospi
85620,미래에셋생명,"145,180,000",kospi
2840,미원상사,"881,006",kospi
107590,미원에스씨,"704,641",kospi
134380,미원화학,"2,217,952",kospi
3650,미창석유,"1,739,672",kospi
155900,바다로19호,"15,200,004",kospi
3610,방림,"4,231,409",kospi
1340,백광산업,"44,918,407",kospi
14580,백광소재,"27,583,100",kospi
35150,백산,"24,200,000",kospi
2410,범양건영,"4,752,927",kospi
96300,베트남개발1,"124,249,261",kospi
7210,벽산,"68,560,000",kospi
2760,보락,"11,980,000",kospi
3850,보령제약,"8,840,000",kospi
4740,보루네오,"39,986,091",kospi
890,보해양조,"96,012,607",kospi
3000,부광약품,"37,387,521",kospi
1270,부국증권,"10,369,886",kospi
26940,부국철강,"20,000,000",kospi
15350,부산가스,"11,000,000",kospi
11390,부산산업,"1,056,000",kospi
5030,부산주공,"22,600,000",kospi
100220,비상교육,"12,996,741",kospi
5180,빙그레,"9,851,241",kospi
3960,사조대림,"5,960,575",kospi
8040,사조동아원,"65,180,349",kospi
7160,사조산업,"5,000,000",kospi
14710,사조씨푸드,"17,218,543",kospi
6090,사조오양,"9,422,739",kospi
79660,사조해표,"7,160,000",kospi
5090,삼광글라스,"4,854,418",kospi
1470,삼부토건,"9,758,395",kospi
6400,삼성SDI,"68,764,530",kospi
6660,삼성공조,"8,126,314",kospi
28260,삼성물산,"189,690,043",kospi
207940,삼성바이오로직스,"66,165,000",kospi
32830,삼성생명,"200,000,000",kospi
18260,삼성에스디에스,"77,377,800",kospi
28050,삼성엔지니어링,"196,000,000",kospi
9150,삼성전기,"74,693,696",kospi
